,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
232,2017-10-22 00:00:00,1900-01-01 17:35:00,MANHATTAN,10013.0,40.713429999999995,-73.99627,"(40.71343, -73.99627)",,,51        MULBERRY STREET               ,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3774965,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
383,2017-10-22 00:00:00,1900-01-01 03:10:00,BROOKLYN,11235.0,40.5789,-73.95326999999999,"(40.5789, -73.95327)",,,111       WEST END AVENUE               ,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3774731,PASSENGER VEHICLE,,,,
385,2017-10-22 00:00:00,1900-01-01 03:10:00,,,40.854820000000004,-73.9112,"(40.85482, -73.9112)",UNIVERSITY AVENUE               ,WEST BURNSIDE AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3774281,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
392,2017-10-22 00:00:00,1900-01-01 03:46:00,,,40.75053,-73.87688399999999,"(40.75053, -73.876884)",37 AVENUE                       ,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3773828,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
407,2017-10-22 00:00:00,1900-01-01 04:25:00,QUEENS,11415.0,40.706055,-73.83144,"(40.706055, -73.83144)",,,119-11    METROPOLITAN AVENUE           ,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,,3774806,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
413,2017-10-22 00:00:00,1900-01-01 04:50:00,MANHATTAN,10002.0,40.720234000000005,-73.98448,"(40.720234, -73.98448)",STANTON STREET                  ,CLINTON STREET,,0,0,0,0,0,0,0,0,Alcohol Involvement,Driver Inattention/Distraction,,,,3774875,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
416,2017-10-22 00:00:00,1900-01-01 04:58:00,QUEENS,11417.0,40.676353000000006,-73.85783,"(40.676353, -73.85783)",,,107-19    79 STREET                     ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3774162,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
419,2017-10-22 00:00:00,1900-01-01 05:25:00,BROOKLYN,11236.0,40.647890000000004,-73.91072,"(40.64789, -73.91072)",AVENUE D                        ,EAST 93 STREET,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3774395,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
430,2017-10-22 00:00:00,1900-01-01 07:00:00,MANHATTAN,10027.0,40.809746000000004,-73.958916,"(40.809746, -73.958916)",,,1233      AMSTERDAM AVENUE              ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3774878,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
434,2017-10-22 00:00:00,1900-01-01 07:20:00,,,40.60032,-73.98595,"(40.60032, -73.98595)",STILLWELL AVENUE                ,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3774082,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
455,2017-10-22 00:00:00,1900-01-01 09:00:00,BROOKLYN,11226.0,40.654224,-73.96353,"(40.654224, -73.96353)",,,148       PARKSIDE AVENUE               ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3774086,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
551,2017-10-21 00:00:00,1900-01-01 11:55:00,,,40.813255,-73.93028000000001,"(40.813255, -73.93028)",EAST 138 STREET                 ,GRAND CONCOURSE,,2,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,,,,3774885,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
674,2017-10-21 00:00:00,1900-01-01 15:00:00,MANHATTAN,10002.0,40.71188,-73.98986,"(40.71188, -73.98986)",,,54        RUTGERS STREET                ,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3775377,PASSENGER VEHICLE,,,,
821,2017-10-21 00:00:00,1900-01-01 01:20:00,,,,,,CITY ISLAND ROAD                ,SHORE ROAD,,5,0,0,0,0,0,5,0,Alcohol Involvement,Unspecified,Unspecified,,,3773677,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
829,2017-10-21 00:00:00,1900-01-01 20:00:00,,,40.708603000000004,-73.83067,"(40.708603, -73.83067)",LEFFERTS BOULEVARD              ,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3774000,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
872,2017-10-21 00:00:00,1900-01-01 22:00:00,BROOKLYN,11211.0,40.717007,-73.9355,"(40.717007, -73.9355)",,,187       MASPETH AVENUE                ,2,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,,,,3774003,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
874,2017-10-21 00:00:00,1900-01-01 22:10:00,,,40.71621,-73.82682,"(40.71621, -73.82682)",,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3773995,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
883,2017-10-21 00:00:00,1900-01-01 22:45:00,BRONX,10467.0,40.865359999999995,-73.87043,"(40.86536, -73.87043)",ALLERTON AVENUE                 ,BRONX PARK EAST,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3774245,PASSENGER VEHICLE,TAXI,,,
908,2017-10-21 00:00:00,1900-01-01 02:00:00,,,40.768467,-73.90607,"(40.768467, -73.90607)",,,,2,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,,,,3773535,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
926,2017-10-21 00:00:00,1900-01-01 04:00:00,STATEN ISLAND,10301.0,40.640614,-74.08703,"(40.640614, -74.08703)",JERSEY STREET                   ,TAFT AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3775124,PASSENGER VEHICLE,,,,
934,2017-10-21 00:00:00,1900-01-01 04:30:00,QUEENS,11385.0,40.703957,-73.8957,"(40.703957, -73.8957)",FRESH POND ROAD                 ,CATALPA AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3776123,PASSENGER VEHICLE,PICK-UP TRUCK,,,
